program,section,source,root_name,name,full_path,level,pic,usage_flag,usage_count,nb_paragraphs,nb_reads,nb_writes,nb_conditions,nb_io,has_88,nb_88,is_critical,role_infered
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-DEBUT,W-DEBUT,W-DEBUT,77,X(08),Y,1,1,1,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-RETOUR-LIB,W-RETOUR-LIB,W-RETOUR-LIB,01,X(9),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-EIBFN-LIB,W-EIBFN-LIB,W-EIBFN-LIB,01,X(9),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-EIBFN,W-EIBFN,W-EIBFN,01,X(2),Y,1,1,0,1,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-RETOUR,W-RETOUR,W-RETOUR,01,S9(8) COMP,Y,31,9,30,1,11,0,N,0,Y,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-ITEM,W-ITEM,W-ITEM,01,S9(4) COMP,Y,9,3,6,3,0,0,N,0,Y,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-LONG-TYPED,W-LONG-TYPED,W-LONG-TYPED,01,,Y,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-LONG-TYPED,W-LONG-CALC,W-LONG-TYPED/W-LONG-CALC,05,9(8) COMP,Y,1,1,1,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-LONG-TYPED,FILLER,W-LONG-TYPED/FILLER,05,,Y,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-LONG-TYPED,FILLER,W-LONG-TYPED/FILLER/FILLER,10,X(2).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,MAIN,W-LONG-TYPED,W-LONG,W-LONG-TYPED/FILLER/W-LONG,10,X(2).,Y,2,1,2,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH,SMASH,01,,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-L1,SMASH/SMASH-L1,05,,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,FILLER,SMASH/SMASH-L1/FILLER,10,X(080),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-L2,SMASH/SMASH-L2,05,,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,FILLER,SMASH/SMASH-L2/FILLER,10,X(004),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-PROGA,SMASH/SMASH-L2/SMASH-PROGA,10,X(008),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-L3,SMASH/SMASH-L3,05,,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,FILLER,SMASH/SMASH-L3/FILLER,10,X(004),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-PROGB,SMASH/SMASH-L3/SMASH-PROGB,10,X(008),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-MESS,SMASH/SMASH-L3/SMASH-MESS,10,X(080),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-COUNT,SMASH/SMASH-COUNT,05,9(003),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-RETOUR,SMASH/SMASH-RETOUR,05,9(008),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-STATUS,SMASH/SMASH-STATUS,05,9(008),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-NBFI,SMASH/SMASH-NBFI,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-ITEMSRVD,SMASH/SMASH-ITEMSRVD,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-ITEMS,SMASH/SMASH-ITEMS,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-CPTNIVEAU,SMASH/SMASH-CPTNIVEAU,05,9(002),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-CPTTRAIT,SMASH/SMASH-CPTTRAIT,05,9(002),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-MODAFFICH,SMASH/SMASH-MODAFFICH,05,X(008),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-IDMS,SMASH/SMASH-IDMS,05,X(008),N,0,0,0,0,0,0,N,0,N,IDENTIFIANT
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-NBPAGTOT,SMASH/SMASH-NBPAGTOT,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-NBLIGNES,SMASH/SMASH-NBLIGNES,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-NUMPAG,SMASH/SMASH-NUMPAG,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-NUMPAGSUIV,SMASH/SMASH-NUMPAGSUIV,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-TOUCHETRANS,SMASH/SMASH-TOUCHETRANS,05,X(001),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-MODANALCDE,SMASH/SMASH-MODANALCDE,05,X(008),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-COMMANDE,SMASH/SMASH-COMMANDE,05,X(001),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH1-ITEMS,SMASH/SMASH1-ITEMS,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH1-CPTNIVEAU,SMASH/SMASH1-CPTNIVEAU,05,9(002),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH1-CPTTRAIT,SMASH/SMASH1-CPTTRAIT,05,9(002),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH1-MODAFFICH,SMASH/SMASH1-MODAFFICH,05,X(008),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH1-IDMS,SMASH/SMASH1-IDMS,05,X(008),N,0,0,0,0,0,0,N,0,N,IDENTIFIANT
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH1-NBPAGTOT,SMASH/SMASH1-NBPAGTOT,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH1-NBLIGNES,SMASH/SMASH1-NBLIGNES,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH1-NUMPAG,SMASH/SMASH1-NUMPAG,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH1-NUMPAGSUIV,SMASH/SMASH1-NUMPAGSUIV,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH1-TOUCHETRANS,SMASH/SMASH1-TOUCHETRANS,05,X(001),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH1-MODANALCDE,SMASH/SMASH1-MODANALCDE,05,X(008),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH1-COMMANDE,SMASH/SMASH1-COMMANDE,05,X(001),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-EIBCALEN,SMASH/SMASH-EIBCALEN,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-COMAREA,SMASH/SMASH-COMAREA,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-CPT001,SMASH/SMASH-CPT001,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-CPT002,SMASH/SMASH-CPT002,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-CPT003,SMASH/SMASH-CPT003,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-CPT004,SMASH/SMASH-CPT004,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-CPT005,SMASH/SMASH-CPT005,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-LENGTH,SMASH/SMASH-LENGTH,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-HHMM,SMASH/SMASH-HHMM,05,9(004),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-HHMMSS,SMASH/SMASH-HHMMSS,05,9(006),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-EIBTASKN,SMASH/SMASH-EIBTASKN,05,9(007),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-CM-RETCODE,SMASH/SMASH-CM-RETCODE,05,9(009),N,0,0,0,0,0,0,N,0,N,CODE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-STATUS-RECEIVED,SMASH/SMASH-STATUS-RECEIVED,05,9(009),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,SMASH,SMASH-RECEIVE-RETCODE1,SMASH/SMASH-RECEIVE-RETCODE1,05,9(009),N,0,0,0,0,0,0,N,0,N,CODE
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD,SMAD,01,,Y,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-LOG,SMAD/SMAD-LOG,05,9(001),N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-GRP,SMAD/SMAD-GRP,05,,Y,1,1,1,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-PGM,SMAD/SMAD-GRP/SMAD-PGM,10,X(008).,Y,1,1,0,1,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-OPER,SMAD/SMAD-GRP/SMAD-OPER,10,X(008).,Y,41,41,0,41,0,0,N,0,Y,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-TRAN,SMAD/SMAD-GRP/SMAD-TRAN,10,X(004),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-XPGM,SMAD/SMAD-GRP/SMAD-XPGM,10,X(008).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-TYNC,SMAD/SMAD-GRP/SMAD-TYNC,10,X(008).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-CMAP,SMAD/SMAD-GRP/SMAD-CMAP,10,X(015).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-TSQN,SMAD/SMAD-GRP/SMAD-TSQN,10,X(008).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-TSQL,SMAD/SMAD-GRP/SMAD-TSQL,10,X(015).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-TSQI,SMAD/SMAD-GRP/SMAD-TSQI,10,9(004).,N,0,0,0,0,0,0,N,0,N,NUMERIQUE
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-INFO,SMAD/SMAD-GRP/SMAD-INFO,10,X(060).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-DCOD,SMAD/SMAD-GRP/SMAD-DCOD,10,X(004).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-FGRP,SMAD/SMAD-GRP/SMAD-FGRP,10,,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-FILE,SMAD/SMAD-GRP/SMAD-FGRP/SMAD-FILE,15,X(008).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-FKEY,SMAD/SMAD-GRP/SMAD-FGRP/SMAD-FKEY,15,X(030).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-STOR,SMAD/SMAD-GRP/SMAD-STOR,10,X(020).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-TTRA,SMAD/SMAD-GRP/SMAD-TTRA,10,X(008).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-RCOD,SMAD/SMAD-GRP/SMAD-RCOD,10,X(008).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-RTYP,SMAD/SMAD-GRP/SMAD-RTYP,10,X(008).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-INQT,SMAD/SMAD-GRP/SMAD-INQT,10,X(015).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-INQX,SMAD/SMAD-GRP/SMAD-INQX,10,X(030).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,SMAD,SMAD-TYPA,SMAD/SMAD-GRP/SMAD-TYPA,10,X(010).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO,SRSWFANO,01,,Y,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1,05,,Y,3,3,3,0,0,0,N,0,Y,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-PGM,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-PGM,10,X(08).,Y,3,3,0,3,0,0,N,0,Y,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,FILLER,SRSWFANO/SRSWFANO-MESS1/FILLER,10,X(03),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,FILLER,SRSWFANO/SRSWFANO-MESS1/FILLER,10,X(10),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-ORDRE,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-ORDRE,10,X(10).,Y,3,3,0,3,0,0,N,0,Y,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,FILLER,SRSWFANO/SRSWFANO-MESS1/FILLER,10,X(05),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-FICHIER,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-FICHIER,10,X(08).,Y,3,3,0,3,0,0,N,0,Y,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,FILLER,SRSWFANO/SRSWFANO-MESS1/FILLER,10,X(16),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-CODE,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-CODE,10,9(04).,Y,3,3,0,3,0,0,N,0,Y,CODE
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,FILLER,SRSWFANO/SRSWFANO-MESS1/FILLER,10,X(12),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-APPL,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-APPL,10,X(03),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-MESS2,SRSWFANO/SRSWFANO-MESS2,05,,Y,3,3,3,0,0,0,N,0,Y,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,FILLER,SRSWFANO/SRSWFANO-MESS2/FILLER,10,X(12),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-REPERE,SRSWFANO/SRSWFANO-MESS2/SRSWFANO-REPERE,10,X(10).,Y,3,3,0,3,0,0,N,0,Y,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,FILLER,SRSWFANO/SRSWFANO-MESS2/FILLER,10,X(08),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,SRSWFANO-CLE,SRSWFANO/SRSWFANO-MESS2/SRSWFANO-CLE,10,X(40).,Y,3,3,0,3,0,0,N,0,Y,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,SRSWFANO,FILLER,SRSWFANO/SRSWFANO-MESS2/FILLER,10,X(09),N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-MS,W-SRCZ-MS,01,,Y,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-ID,W-SRCZ-MS/W-SRCZ-ID,05,,Y,2,1,2,0,0,0,N,0,N,IDENTIFIANT
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-IDMS,W-SRCZ-MS/W-SRCZ-ID/W-SRCZ-IDMS,10,X(4).,Y,1,1,0,1,0,0,N,0,N,IDENTIFIANT
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-TERM,W-SRCZ-MS/W-SRCZ-ID/W-SRCZ-TERM,10,X(4).,Y,1,1,0,1,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-DONNEES,W-SRCZ-MS/W-SRCZ-DONNEES,05,,Y,2,1,2,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-MESS1,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS1,10,,Y,4,4,1,3,0,0,N,0,Y,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,FILLER,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS1/FILLER,15,X(76).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-APPL,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS1/W-SRCZ-APPL,15,X(03).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-MESS2,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS2,10,X(79).,Y,4,4,1,3,0,0,N,0,Y,
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,W-SRCZ-MS,W-SRCZ-ABEND,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-ABEND,10,X(04).,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-COMM,W-SRCZ-MS/SRSIN-COMM,03,,Y,1,1,1,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-INFOS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS,05,,Y,1,1,0,1,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-TYPAPPEL,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-TYPAPPEL,10,X.,N,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-INFO-SESS,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS,10,,Y,0,0,0,0,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-CODAPPL,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-CODAPPL,15,X(3).,Y,1,1,0,1,0,0,N,0,N,
SRSRADIS,WORKING-STORAGE SECTION,SRSCOMIN,W-SRCZ-MS,SRSIN-CODFONC,W-SRCZ-MS/SRSIN-COMM/SRSIN-INFOS/SRSIN-INFO-SESS/SRSIN-CODFONC,15,X.,N,0,0,0,0,0,0,N,0,N,
